,npi_number,name,url,street_address,city,state,zip_code,publish_date,combined_address,latitude,longitude
17,1386698918.0,Doctors Hospital of Augusta,https://doctors-hospital.net/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,3651 Wheeler Rd,Augusta,GA,30909.0,2021-01-01 00:00:00 +0000 UTC,"['3651 Wheeler Rd', 'Augusta', 'GA']",NA,NA
18,1386714814,Redwood City Medical Center,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941340523_RedwoodCityMedicalCenter_standardcharges.xlsx,1100 Veterans Blvd,Redwood City,CA,94063,2021-01-01 00:00:00 +0000 UTC,"['1100 Veterans Blvd', 'Redwood City', 'CA']",NA,NA
19,1386721041,Carondelet Holy Cross Hospital,https://www.carondelet.org/docs/global/standard-charges/474132507_carondeletholycrosshospital_standardcharges.json?sfvrsn=d3f0c922_4&download=true,1171 W. Target Range Road,Nogales,AZ,85621,,"['1171 W. Target Range Road', 'Nogales', 'AZ']",NA,NA
20,1386786473,Ocala Health,https://ocalahealthsystem.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,1431 SW 1st Ave,Ocala,FL,34471,2021-01-01 00:00:00 +0000 UTC,"['1431 SW 1st Ave', 'Ocala', 'FL']",NA,NA
21,1396057071,VHS DETROIT RECEIVING HOSPITAL INC,https://www.dmc.org/patients/pricing-info-estimates/hospital-pricing-information,4201 SAINT ANTOINE ST,DETROIT,MI,482012153,2021-01-18 00:00:00 +0000 UTC,"['4201 SAINT ANTOINE ST', 'DETROIT', 'MI']",NA,NA
22,1396087672,Emanuel Medical Center,https://www.emanuelmedicalcenter.org/docs/global/standard-charges/752918774_emanuelmedicalcenter_standardcharges.json?sfvrsn=73fd96d3_4&download=true,825 Delbon Avenue,Turlock,CA,95382,,"['825 Delbon Avenue', 'Turlock', 'CA']",NA,NA
23,1396138970,Baylor Scott & White Medical Center - Marble Falls,https://www.bswhealth.com/SiteCollectionDocuments/patient-tools/estimate-cost-of-care/46-4007700_BAYLOR%20SCOTT%20&%20WHITE%20%20MEDICAL%20CENTER%20AT%20MARBLE%20FALLS_standardcharges.csv,810 W. State Highway 71,Marble Falls,TX,78654,,"['810 W. State Highway 71', 'Marble Falls', 'TX']",NA,NA
24,1396223590,ADVENTIST HEALTH SYSTEM-SUNBELT INC,https://www.adventhealth.com/sites/default/files/CDM/2021/591479658_AdventHealthOrlando_standardcharges.xml,2100 OCOEE APOPKA RD,APOPKA,FL,32703-9210,,"['2100 OCOEE APOPKA RD', 'APOPKA', 'FL']",NA,NA
25,1396731105,Doctors Hospital of Laredo,https://uhsfilecdn.eskycity.net/ac/doctors-hospital-of-laredo_standard-charges.csv,10700 McPherson Road,Laredo,TX,78045,,"['10700 McPherson Road', 'Laredo', 'TX']",NA,NA
26,1396778197,Twin Cities Community Hospital,https://www.tenethealthcentralcoast.com/docs/global/standard-charges/752918765_twincitiescommunityhospital_standardcharges.json?sfvrsn=5d2e308c_4&download=true,1100 Las Tablas Rd.,Templeton,CA,93465,,"['1100 Las Tablas Rd.', 'Templeton', 'CA']",NA,NA
27,1396787198,Research Medical Center,https://researchmedicalcenter.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2316 E Meyer Blvd,Kansas City,MO,64132,2021-01-01 00:00:00 +0000 UTC,"['2316 E Meyer Blvd', 'Kansas City', 'MO']",NA,NA
28,1396790200.0,Swedish Medical Center,https://swedishhospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,4900 S. Monaco St.,Denver,CO,80237.0,2021-01-01 00:00:00 +0000 UTC,"['4900 S. Monaco St.', 'Denver', 'CO']",NA,NA
29,1396790325,Atrium Health Union,https://chsprodrsrcegrporg385.blob.core.windows.net/cms-price-transparency/56-0529945_AtriumHealthUnion_StandardCharges.json,600 Hospital Drive ,Monroe,NC,28112,,"['600 Hospital Drive ', 'Monroe', 'NC']",NA,NA
30,1366871600,Encompass Health Rehabilitation Hospital of Humble,https://www.encompasshealth.com/locations/humblerehab/transparency-healthcare,19002 MCKAY DR,HUMBLE,TX,77338,,"['19002 MCKAY DR', 'HUMBLE', 'TX']",NA,NA
31,1366886186,Essentia Health-Ada,https://www.essentiahealth.org/app/files/public/3619/ada-hospital-service-charges.csv,201 9th St W,Ada,MN,56510,,"['201 9th St W', 'Ada', 'MN']",NA,NA
32,1366896300,Memorial Hospital Los Banos,https://www.sutterhealth.org/pdf/chargemaster/chargemaster-mhlb.csv,520 W I St,Los Banos,CA,93635,2021-02-17 00:00:00 +0000 UTC,"['520 W I St', 'Los Banos', 'CA']",NA,NA
33,1366898165,Orange Park Medical Center,https://orangeparkmedical.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2001 Kingsley Avenue,Orange Park,FL,32073,2021-01-01 00:00:00 +0000 UTC,"['2001 Kingsley Avenue', 'Orange Park', 'FL']",NA,NA
34,1366898165.0,Orange Park Medical Center,https://orangeparkmedical.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2001 Kingsley Avenue,Orange Park,FL,32073.0,2021-01-01 00:00:00 +0000 UTC,"['2001 Kingsley Avenue', 'Orange Park', 'FL']",NA,NA
35,1376081455,BEAUMONT - FARMINGTON HILLS,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,28050 GRAND RIVER AVE,FARMINGTON HILLS,MI,48336-5919,2021-01-17 00:00:00 +0000 UTC,"['28050 GRAND RIVER AVE', 'FARMINGTON HILLS', 'MI']",NA,NA
36,1376517508,Encompass Health Valley of The Sun Rehabilitation Hospital,https://encompasshealth.com/locations/valleyofthesunrehab/transparency-healthcare,13460 N 67TH AVE,GLENDALE,AZ,85304,,"['13460 N 67TH AVE', 'GLENDALE', 'AZ']",NA,NA
37,1376541748,ASCENSION CALUMET HOSPITAL,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/wi/390905385_ascension-calumet-hospital_standardcharges.xlsx,614 MEMORIAL DR,CHILTON,WI,53014-1568,,"['614 MEMORIAL DR', 'CHILTON', 'WI']",NA,NA
38,1376558189,AdventHealth Apopka,https://www.adventhealth.com/sites/default/files/CDM/2021/591479658_AdventHealthOrlando_standardcharges.xml,10987 Sheldon Rd Ste 100,Tampa,FL,33626,2021-01-01 00:00:00 +0000 UTC,"['10987 Sheldon Rd Ste 100', 'Tampa', 'FL']",NA,NA
39,1376564088,McLaren Oakland,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2021/38-1428164_McLarenOakland_standardcharges.csv,50 N Perry St,Pontiac,MI,48342,2021-01-01 00:00:00 +0000 UTC,"['50 N Perry St', 'Pontiac', 'MI']",NA,NA
40,1053321919,ADVENTHEALTH TAMPA,https://www.adventhealth.com/sites/default/files/CDM/2021/591113901_AdventHealthTampa_standardcharges.xml,3100 E FLETCHER AVE,TAMPA,FL,33613,2021-01-26 00:00:00 +0000 UTC,"['3100 E FLETCHER AVE', 'TAMPA', 'FL']",NA,NA
41,1053353490,Saint Luke’s East Hospital,https://www.saintlukeskc.org/sites/default/files/2021-01/Saint_Lukes_East_12312020.csv,100 NE Saint Luke's Blvd,Lee's Summit,MO,64086,2021-01-01 00:00:00 +0000 UTC,"[""100 NE Saint Luke's Blvd"", ""Lee's Summit"", 'MO']",NA,NA
42,1053358010.0,Riverside Community Hospital,https://riversidecommunityhospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,4445 Magnolia Ave,Riverside,CA,92501.0,2021-01-01 00:00:00 +0000 UTC,"['4445 Magnolia Ave', 'Riverside', 'CA']",NA,NA
43,1053495879,Sutter Lakeside Hospital,https://www.sutterhealth.org/pdf/chargemaster/chargemaster-slh.csv,5176 Hill Rd E,Lakeport,CA,95453,,"['5176 Hill Rd E', 'Lakeport', 'CA']",NA,NA
44,1053683185.0,St. David's HealthCare,https://stdavids.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,,,,,2021-01-01 00:00:00 +0000 UTC,"[nan, nan, nan]",NA,NA
45,1053710889,Maui Memorial Medical Center,https://res.cloudinary.com/dpmykpsih/raw/upload/maui-health-site-309/media/r/14525134e99846e49dcf9b9984c56184/811559375_mauimemorialmedicalcenter_standardcharges.xlsb,221 Mahalani St,Wailuku,HI,96793-2526,,"['221 Mahalani St', 'Wailuku', 'HI']",NA,NA
46,1053778860,Vibra Hospital of Richardson,https://vhrichardson.com/wp-content/uploads/sites/32/2021/02/204779077_Vibra-Specialty-Hosptial-of-Richardson_Standard-Charges.xlsx,"401 West Campbell Road, Suite 300", Richardson,TX,75080,,"['401 West Campbell Road, Suite 300', ' Richardson', 'TX']",NA,NA
47,1053824292.0,Memorial Health,https://memorialhealth.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,4700 Waters Avenue,Savannah,GA,31404.0,2021-01-01 00:00:00 +0000 UTC,"['4700 Waters Avenue', 'Savannah', 'GA']",NA,NA
48,1053972760,ADVENTHEALTH LAKE WALES,https://www.adventhealth.com/sites/default/files/CDM/2021/834672945_AdventHealthLake Wales_standardcharges.xml,410 SOUTH 11TH STREET,LAKE WALES,FL,33853,2021-01-26 00:00:00 +0000 UTC,"['410 SOUTH 11TH STREET', 'LAKE WALES', 'FL']",NA,NA
49,1063407229,Sutter Lakeside Hospital,https://www.sutterhealth.org/pdf/chargemaster/chargemaster-slh.csv,5176 Hill Rd E,Lakeport,CA,95453,2021-02-17 00:00:00 +0000 UTC,"['5176 Hill Rd E', 'Lakeport', 'CA']",NA,NA
50,1063411767,Paris Regional Medical Center,https://parisregionalmedical.com/sites/paris/assets/uploads/33-1073948_PARIS_REGIONAL_MEDICAL_CENTER_StandardCharges.zip,865 DeShong Drive,Paris,TX,75460,,"['865 DeShong Drive', 'Paris', 'TX']",NA,NA
51,1063442770,Hialeah Hospital,https://www.hialeahhosp.com/docs/global/standard-charges/752653770_hialeahhospital_standardcharges.json?sfvrsn=6dd27c79_4&download=true,651 East 25th St.,Hialeah,FL,33013,,"['651 East 25th St.', 'Hialeah', 'FL']",NA,NA
52,1063443455,IU Health West Hospital,https://cdn.iuhealth.org/resources/35-1814660_IU-Health-West-Hospital_standardcharges.txt?mtime=20210202164451&focal=none,1111 N Ronald Reagan Pkwy,Avon,IN,46123,,"['1111 N Ronald Reagan Pkwy', 'Avon', 'IN']",NA,NA
53,1063459022.0,Frankfort Regional Medical Center,https://frankfortregional.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,299 Kings Daughters Dr,Frankfort,KY,40601.0,2021-01-01 00:00:00 +0000 UTC,"['299 Kings Daughters Dr', 'Frankfort', 'KY']",NA,NA
54,1063461366,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
55,1063466035.0,HCA Houston Healthcare Clear Lake,https://clearlakermc.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,500 Medical Center Blvd.,Webster,TX,77598.0,2021-01-01 00:00:00 +0000 UTC,"['500 Medical Center Blvd.', 'Webster', 'TX']",NA,NA
56,1063466563,Northwest Medical Center,https://northwestmed.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2801 North State Rd 7,Margate,FL,33063,2021-01-01 00:00:00 +0000 UTC,"['2801 North State Rd 7', 'Margate', 'FL']",NA,NA
57,1063466563.0,Northwest Medical Center,https://northwestmed.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,2801 North State Rd 7,Margate,FL,33063.0,2021-01-01 00:00:00 +0000 UTC,"['2801 North State Rd 7', 'Margate', 'FL']",NA,NA
58,1063466589,Westside Regional Medical Center,https://westsideregional.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,8201 W Broward Blvd,Plantation,FL,33324,2021-01-01 00:00:00 +0000 UTC,"['8201 W Broward Blvd', 'Plantation', 'FL']",NA,NA
59,1063466589.0,Westside Regional Medical Center,https://westsideregional.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,8201 W Broward Blvd,Plantation,FL,33324.0,2021-01-01 00:00:00 +0000 UTC,"['8201 W Broward Blvd', 'Plantation', 'FL']",NA,NA
60,1063470763,Belton Regional Medical Center,https://beltonregionalmedicalcenter.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,17065 S. 71 Highway,Belton,MO,64012,2021-01-01 00:00:00 +0000 UTC,"['17065 S. 71 Highway', 'Belton', 'MO']",NA,NA
61,1063470763.0,Belton Regional Medical Center,https://beltonregionalmedicalcenter.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,17065 S. 71 Highway,Belton,MO,64012.0,2021-01-01 00:00:00 +0000 UTC,"['17065 S. 71 Highway', 'Belton', 'MO']",NA,NA
62,1063486710,Encompass Health Rehabilitation Hospital of Las Vegas,https://encompasshealth.com/locations/lasvegasrehab/transparency-healthcare,1250 S VALLEY VIEW BLVD,LAS VEGAS,NV,891021855,,"['1250 S VALLEY VIEW BLVD', 'LAS VEGAS', 'NV']",NA,NA
63,1063494177,Saint Luke’s Hospital,https://www.saintlukeskc.org/sites/default/files/2021-01/Saint_Lukes_Hospital_KC_12312020.csv,4401 Wornall Rd,Kansas City,MO,64111,2021-01-01 00:00:00 +0000 UTC,"['4401 Wornall Rd', 'Kansas City', 'MO']",NA,NA
64,1063582989,San Jose Medical Center,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941340523_SanJoseMedicalCenter_standardcharges.xlsx,250 Hospital Pkwy,San Jose,CA,95119,2021-01-01 00:00:00 +0000 UTC,"['250 Hospital Pkwy', 'San Jose', 'CA']",NA,NA
65,1063596336,The Union Memorial Hospital,https://ct1.medstarhealth.org/content/uploads/sites/11/2021/01/520591685_MedStar-Union-Memorial-Hospital_Standard-Charges.xlsx,201 E University Pkwy,Baltimore,MD,21218-2829,,"['201 E University Pkwy', 'Baltimore', 'MD']",NA,NA
66,1063796688,Sunrise Hospital & Medical Center,https://sunrisehospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,3186 S Maryland Pkwy,Las Vegas,NV,89109,2021-01-01 00:00:00 +0000 UTC,"['3186 S Maryland Pkwy', 'Las Vegas', 'NV']",NA,NA
67,1063812907,Eden Medical Center,https://www.sutterhealth.org/pdf/chargemaster/chargemaster-emc.csv,20103 Lake Chabot Road,Castro Valley,CA,94546,2021-02-17 00:00:00 +0000 UTC,"['20103 Lake Chabot Road', 'Castro Valley', 'CA']",NA,NA
68,1063844306,Vibra Hospital of Amarillo,https://vhamarillo.com/wp-content/uploads/sites/2/2021/02/462640171_Vibra-Hospital-of-Amarillo_Standard-Charges.xlsx,7501 Wallace Blvd., Amarillo,TX,79124,,"['7501 Wallace Blvd.', ' Amarillo', 'TX']",NA,NA
69,1063969160,KAISER PERMANENTE WESTSIDE HOSPITAL,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/941105628_WestsideMedicalCenter_shoppableservices.xlsx,2875 NW STUCKI AVE,HILLSBORO,OR,97124-5806,2021-01-01 00:00:00 +0000 UTC,"['2875 NW STUCKI AVE', 'HILLSBORO', 'OR']",NA,NA
70,1073511762,Baylor Scott & White Medical Center - Grapevine,https://www.bswhealth.com/SiteCollectionDocuments/patient-tools/estimate-cost-of-care/75-1777119_BAYLOR%20SCOTT%20&%20WHITE%20REGIONAL%20MEDICAL%20CENTER%20AT%20GRAPEVINE_standardcharges.csv,1650 W College St,Grapevine,TX,76051,,"['1650 W College St', 'Grapevine', 'TX']",NA,NA
71,1073530168,Desert View Regional Medical Center,https://uhsfilecdn.eskycity.net/ac/desert-view-hospital_standard-charges.csv,360 S Lola Ln,Pahrump,NV,89048,,"['360 S Lola Ln', 'Pahrump', 'NV']",NA,NA
72,1073547295,Aurora St Luke's South Shore,https://www.aurorahealthcare.org/-/media/aurorahealthcareorg/documents/billing-insurance/pricing-transparency/south-shore-pt1-publication-20210101.xlsx?la=en&hash=5B65406704258899B6FCFD6EB7FA775EB70D2908,5900 S Lake Dr,Cudahy,WI,53110-3171,,"['5900 S Lake Dr', 'Cudahy', 'WI']",NA,NA
73,1073550133.0,Terre Haute Regional Hospital,https://regionalhospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,3901 S 7th St,Terre Haute,IN,47802.0,2021-01-01 00:00:00 +0000 UTC,"['3901 S 7th St', 'Terre Haute', 'IN']",NA,NA
74,1073562898,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
75,1073568978,McLaren Caro Region,https://www.mclaren.org/Uploads/Public/Documents/corporate/ChargeMasterFile/2021/38-3426063_McLarenCaroCommunityHospital_standardcharges.csv,401 N Hooper St,Caro,MI,48723,2021-01-01 00:00:00 +0000 UTC,"['401 N Hooper St', 'Caro', 'MI']",NA,NA
76,1023065794.0,Woman's Hospital of Texas,https://womanshospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,7600 Fannin,Houston,TX,77054.0,2021-01-01 00:00:00 +0000 UTC,"['7600 Fannin', 'Houston', 'TX']",NA,NA
77,1023067840,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
78,1023069739.0,Medical City Lewisville,https://medicalcitylewisville.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,13155 Noel Rd. Suite 200,Dallas,TX,75240.0,2021-01-01 00:00:00 +0000 UTC,"['13155 Noel Rd. Suite 200', 'Dallas', 'TX']",NA,NA
79,1023097771,Midmichigan Medical Center Gratiot,https://www.midmichigan.org/app/files/public/34963/381437919_midmichigan-medical-center-gratiot_standardcharges.csv,,,,,2021-01-01 00:00:00 +0000 UTC,"[nan, nan, nan]",NA,NA
80,1023134657,WILLIAM BEAUMONT HOSPITAL,https://www.beaumont.org/patients-families/billing/pricing/2021-beaumont-health-price-transparency-information,3601 W 13 MILE RD,ROYAL OAK,MI,48073-6712,2021-01-16 00:00:00 +0000 UTC,"['3601 W 13 MILE RD', 'ROYAL OAK', 'MI']",NA,NA
81,1023180502,Medical City Dallas,https://core.secure.ehc.com/src/util/detail-price-list/62-1682198_medical-city-dallas_standardcharges.csv,7777 Forest Ln,Dallas,TX,75230,2021-01-04 00:00:00 +0000 UTC,"['7777 Forest Ln', 'Dallas', 'TX']",NA,NA
82,1023180502.0,Medical City Dallas,https://medicalcityhospital.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,13155 Noel Rd. Suite 200,Dallas,TX,75240.0,2021-01-01 00:00:00 +0000 UTC,"['13155 Noel Rd. Suite 200', 'Dallas', 'TX']",NA,NA
83,1023240520,Spaulding Hospital Cambridge,https://healthcare.partners.org/pricetransparency/270273715_Spaulding-Hospital-Continuing-Medical-Care-Cambridge_StandardCharges.zip,1575 Cambridge St,Cambridge,MA,02138,,"['1575 Cambridge St', 'Cambridge', 'MA']",NA,NA
84,1023301199.0,JFK Medical Center,https://jfkmc.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,5301 S Congress Ave,Atlantis,FL,33462.0,2021-01-01 00:00:00 +0000 UTC,"['5301 S Congress Ave', 'Atlantis', 'FL']",NA,NA
85,1023325800,Rhode Island Hospital,https://www.lifespan.org/sites/default/files/2020-12/Chargemaster-RIH-Hasbro.xlsx,17 Seekonk St,Providence,RI,02906-5125,,"['17 Seekonk St', 'Providence', 'RI']",NA,NA
86,1023327509,VHS SINAI GRACE HOSPITAL,https://www.dmc.org/patients/pricing-info-estimates/hospital-pricing-information,6071 W OUTER DR,DETROIT,MI,482352624,2021-01-18 00:00:00 +0000 UTC,"['6071 W OUTER DR', 'DETROIT', 'MI']",NA,NA
87,1023334950,ASCENSION VIA CHRISTI HOSPITAL ST TERESA INC.,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/ks/271965272_ascension-via-christi-st-teresa_standardcharges.xlsx,14800 W SAINT TERESA ST,WICHITA,KS,67235-9602,,"['14800 W SAINT TERESA ST', 'WICHITA', 'KS']",NA,NA
88,1023387479,Plantation General Hospital,https://plantationgeneral.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,401 NW 42 Ave,Miami,FL,33317,2021-01-01 00:00:00 +0000 UTC,"['401 NW 42 Ave', 'Miami', 'FL']",NA,NA
89,1023435898,Rutherford Regional Health System,http://www.myrutherfordregional.com/Content/Uploads/Rutherford Hospital Redesign/files/300811171_Rutherford_Regional_Medical_Center_Standard_Charges_12202020.zip,288 S. Ridgecrest Avenue,Rutherfordton,NC,28139,,"['288 S. Ridgecrest Avenue', 'Rutherfordton', 'NC']",NA,NA
90,1033112230,St. Jude Children's Research Hospital,https://www.stjude.org/content/dam/en_US/shared/www/about-st-jude/legal/no-index/620646012-st-jude-childrens-research-hospital-standardcharges.xlsx,,Memphis,TN,38105,,"[nan, 'Memphis', 'TN']",NA,NA
91,1033115993,IU Health Jay Hospital,https://cdn.iuhealth.org/resources/82-2736786_IU-Health-Jay-Hospital_standardcharges.txt?mtime=20210202164658&focal=none,500 West Votaw St,Portland,IN,47371,,"['500 West Votaw St', 'Portland', 'IN']",NA,NA
92,1033118104,Wentworth-Douglass Hospital,https://healthcare.partners.org/pricetransparency/020260334_Wentworth-Douglass-Hospital_StandardCharges.zip,789 Central Avenue,Dover,NH,03820,,"['789 Central Avenue', 'Dover', 'NH']",NA,NA
93,1033120423,Texas Health Huguley,https://www.adventhealth.com/sites/default/files/CDM/2021/452694620_Texas%20Health%20Huguley%20Hospital%20Fort%20Worth%20South_standardcharges.xml,11801 SOUTH FWY,BURLESON,TX,76028-7021,,"['11801 SOUTH FWY', 'BURLESON', 'TX']",NA,NA
94,1033123666,Abbott Northwestern Hospital,https://www.allinahealth.org/-/media/allina-health/files/customer-service/billing-and-insurance/363261413-abbott-standardcharges.xlsx?la=en&hash=1E0BA34DE78DFB613E05CC1A50306BF7,,Minneapolis,MN,,,"[nan, 'Minneapolis', 'MN']",NA,NA
